Age,Monthly_Income,Employment_Type,City_Tier,Total_Spend_Prev,Next_Month_Spend
60,7844.62,Salaried,Tier 1,4945.73,4516.02
50,5329.68,Salaried,Tier 2,3771.83,3770.9
36,7088.82,Freelancer,Tier 2,4958.66,4491.93
64,2000.0,Salaried,Tier 1,1023.67,1053.51
29,6221.25,Salaried,Tier 3,3048.68,3285.87
42,3926.72,Business,Tier 1,1727.7,1598.29
60,3902.69,Salaried,Tier 1,2654.67,2628.29
40,4627.46,Salaried,Tier 3,3301.53,3250.81
44,2863.12,Salaried,Tier 2,1672.99,1614.04
32,5664.18,Salaried,Tier 3,4489.16,4471.35
32,5286.07,Salaried,Tier 3,2718.28,2925.27
45,5399.29,Business,Tier 3,2853.03,3123.3
57,6330.55,Salaried,Tier 1,3371.96,3036.68
61,7272.17,Freelancer,Tier 1,3280.33,3165.09
45,4454.43,Salaried,Tier 2,2283.73,2336.3
24,5716.03,Salaried,Tier 2,3956.52,4347.83
43,5439.48,Salaried,Tier 2,3494.5,3207.9
23,5566.42,Salaried,Tier 1,2669.32,2835.54
45,5588.9,Salaried,Tier 1,3333.08,3622.34
51,7385.76,Salaried,Tier 2,4876.18,5278.08
59,4310.48,Business,Tier 1,2764.33,2797.82
23,2711.4,Salaried,Tier 1,1858.66,1794.56
42,3953.19,Salaried,Tier 1,2570.22,2642.13
54,6135.9,Salaried,Tier 1,3635.3,3494.31
33,5034.99,Salaried,Tier 2,2409.4,2367.13
43,4298.6,Salaried,Tier 2,2820.13,2789.52
46,3385.25,Salaried,Tier 1,1929.08,1852.67
48,5331.93,Salaried,Tier 1,3359.41,3253.14
63,5966.76,Salaried,Tier 2,2651.86,2390.55
49,5458.81,Freelancer,Tier 1,3400.5,2847.42
37,4620.0,Salaried,Tier 3,3149.48,3132.03
36,5219.96,Salaried,Tier 2,3019.9,2822.41
24,5211.26,Freelancer,Tier 3,3988.35,4400.31
58,5284.55,Student,Tier 2,3211.62,3235.8
28,3223.54,Freelancer,Tier 1,1649.34,1751.36
42,5295.99,Salaried,Tier 2,3658.88,3386.74
30,4339.11,Freelancer,Tier 1,3380.05,3582.3
60,6560.93,Salaried,Tier 1,4260.19,4650.65
39,5199.38,Salaried,Tier 1,3563.77,3458.6
25,6253.22,Business,Tier 2,3828.55,3663.12
46,4547.33,Salaried,Tier 1,2195.77,2260.25
35,4601.43,Student,Tier 1,2544.39,2613.55
30,7241.38,Freelancer,Tier 2,4452.82,3986.25
47,5654.5,Freelancer,Tier 3,3377.65,3886.33
23,3928.23,Freelancer,Tier 1,2979.14,2435.28
41,6345.46,Salaried,Tier 2,3256.93,3429.17
49,4200.04,Salaried,Tier 1,2850.99,2770.77
28,5338.55,Business,Tier 3,2820.34,2685.83
29,7755.01,Freelancer,Tier 1,3404.32,3068.33
56,2853.08,Business,Tier 3,1571.71,1500.83
35,4736.33,Business,Tier 1,2620.46,2879.06
38,5612.41,Student,Tier 3,3953.84,4078.75
57,6147.05,Freelancer,Tier 1,3042.54,3237.73
61,3138.15,Salaried,Tier 1,2056.7,2245.31
25,2696.31,Salaried,Tier 1,1505.39,1378.64
23,6636.12,Freelancer,Tier 1,3736.47,3415.99
27,3919.38,Salaried,Tier 3,1956.99,2124.49
63,3856.58,Salaried,Tier 2,1940.37,1965.42
25,7325.37,Salaried,Tier 2,5004.48,5139.45
50,5104.55,Business,Tier 3,2792.73,2752.31
39,5114.36,Business,Tier 2,3018.63,3208.46
47,4730.3,Freelancer,Tier 3,2601.11,2709.08
55,3164.03,Salaried,Tier 1,1971.32,2099.9
31,6013.55,Freelancer,Tier 3,2691.63,2867.39
57,5614.18,Freelancer,Tier 1,3971.13,4136.52
35,5253.04,Salaried,Tier 2,2898.74,2915.44
52,4825.52,Salaried,Tier 2,2804.79,2729.15
36,4561.52,Salaried,Tier 2,2086.19,1958.8
29,6368.73,Salaried,Tier 2,3954.05,4077.94
35,4788.06,Freelancer,Tier 1,3473.75,3280.33
44,4903.91,Salaried,Tier 3,3021.04,3296.73
61,5794.84,Student,Tier 3,3363.75,3463.02
42,5311.94,Salaried,Tier 3,3476.17,3795.54
37,7463.41,Salaried,Tier 3,4387.78,4187.94
39,2357.95,Salaried,Tier 2,1591.07,1733.15
45,5449.86,Salaried,Tier 3,3228.38,3300.78
47,3941.59,Salaried,Tier 3,2313.21,2456.75
46,3586.87,Salaried,Tier 2,2097.15,1962.48
62,4314.4,Salaried,Tier 2,2467.45,2467.5
50,5082.02,Salaried,Tier 3,2866.88,2906.42
36,5148.6,Freelancer,Tier 2,3748.1,3605.98
22,2724.04,Salaried,Tier 2,1718.36,1633.56
46,4188.37,Salaried,Tier 1,2546.95,2753.14
28,5421.83,Freelancer,Tier 3,3000.67,2591.32
30,3684.6,Salaried,Tier 3,1704.3,1586.36
45,3327.82,Business,Tier 1,1401.14,1350.84
22,2000.0,Student,Tier 1,1347.11,1460.21
29,4005.21,Salaried,Tier 1,2329.2,2359.11
45,3275.56,Student,Tier 2,1942.88,1893.6
32,3524.1,Freelancer,Tier 1,1947.24,1954.08
38,4592.27,Student,Tier 2,3141.25,3353.46
29,4100.26,Freelancer,Tier 3,2354.16,1764.59
56,3250.64,Salaried,Tier 2,1855.66,1674.31
56,2000.0,Business,Tier 1,1470.86,1337.33
54,5453.47,Salaried,Tier 3,3781.39,3758.1
26,6129.24,Salaried,Tier 2,3323.43,3377.44
63,4404.88,Salaried,Tier 1,2706.29,2773.66
60,4601.34,Salaried,Tier 2,2987.65,3125.76
62,5004.22,Salaried,Tier 2,2513.11,2357.16
49,7368.18,Freelancer,Tier 3,4675.56,4887.43
28,2648.44,Student,Tier 3,1352.89,1283.49
30,4378.27,Salaried,Tier 1,3434.0,3193.05
29,2417.04,Student,Tier 1,1272.16,1207.12
33,5543.48,Student,Tier 1,2882.8,2948.33
55,4784.06,Salaried,Tier 2,2957.09,2878.08
54,5304.49,Salaried,Tier 2,3400.94,3583.17
44,5229.68,Business,Tier 2,3223.42,3246.9
45,6486.06,Freelancer,Tier 1,4517.36,4304.14
58,5807.2,Freelancer,Tier 3,3229.09,3028.23
56,6245.76,Freelancer,Tier 3,3039.78,3306.4
61,3401.7,Salaried,Tier 1,2087.3,2240.18
43,6789.76,Salaried,Tier 2,4182.82,4462.0
48,3916.46,Salaried,Tier 2,2555.33,2517.76
56,4002.7,Salaried,Tier 1,1955.25,2012.99
22,5406.26,Freelancer,Tier 1,3089.39,3457.39
56,5452.88,Business,Tier 1,3632.22,3728.84
58,3392.21,Salaried,Tier 1,1759.15,1904.38
35,4740.08,Student,Tier 2,2884.69,2956.54
24,7232.35,Salaried,Tier 1,4522.69,4345.2
22,2797.5,Freelancer,Tier 1,1913.49,1351.38
26,7227.83,Freelancer,Tier 2,4494.8,4298.39
47,4637.45,Student,Tier 1,2640.98,2449.27
35,2000.0,Freelancer,Tier 2,1149.16,817.37
60,2949.9,Salaried,Tier 2,1572.06,1515.79
48,3554.78,Student,Tier 2,1738.23,1648.35
30,4064.11,Freelancer,Tier 3,2604.37,2702.04
36,4842.93,Salaried,Tier 1,2855.49,2794.94
36,2000.0,Freelancer,Tier 2,1051.29,718.47
47,5280.21,Business,Tier 1,3906.65,3831.35
63,3417.36,Salaried,Tier 3,2074.1,2129.58
34,7085.78,Salaried,Tier 3,3732.96,3378.88
53,4594.73,Business,Tier 1,3512.82,3856.53
60,6414.27,Freelancer,Tier 2,4640.17,4570.3
53,6665.52,Salaried,Tier 1,3949.83,4047.51
25,6624.91,Salaried,Tier 3,4012.07,3838.38
51,4150.39,Salaried,Tier 1,2343.03,2293.14
58,4131.2,Freelancer,Tier 3,1723.29,1769.52
44,4662.54,Business,Tier 1,3037.69,3105.65
60,5954.36,Salaried,Tier 2,4278.98,4510.43
36,4233.96,Salaried,Tier 3,2221.38,2350.96
64,4821.11,Salaried,Tier 3,2846.96,2857.61
50,5410.39,Freelancer,Tier 1,3372.3,2945.22
57,3642.66,Salaried,Tier 2,1946.72,1969.21
34,3547.84,Salaried,Tier 1,2129.98,2120.43
53,4762.6,Salaried,Tier 2,2949.2,2781.32
28,4961.27,Freelancer,Tier 1,3195.53,2423.27
43,5650.83,Salaried,Tier 1,3271.55,3151.14
49,6007.83,Salaried,Tier 2,4157.58,3957.59
23,3351.41,Student,Tier 1,2069.94,2062.87
63,3781.87,Salaried,Tier 2,1911.4,2011.4
27,3543.87,Salaried,Tier 1,1642.45,1622.42
49,7118.67,Student,Tier 1,4550.53,4961.51
49,4819.59,Salaried,Tier 2,3461.02,3268.11
41,5024.19,Salaried,Tier 1,3095.35,2922.6
51,5086.66,Salaried,Tier 1,3509.83,3583.15
32,3926.49,Freelancer,Tier 2,2297.02,2530.0
49,7346.4,Salaried,Tier 2,5465.44,5653.3
46,5616.54,Business,Tier 2,2737.56,2832.65
60,5059.39,Salaried,Tier 1,2637.42,2798.99
54,3342.12,Salaried,Tier 1,2100.46,2171.32
22,3257.1,Freelancer,Tier 3,1703.18,2167.34
48,4536.64,Student,Tier 3,2196.87,2357.74
34,3950.01,Salaried,Tier 1,2091.09,1885.29
62,3398.83,Business,Tier 2,2227.31,2399.09
24,4443.56,Salaried,Tier 1,2191.51,2066.71
60,4675.36,Salaried,Tier 1,2165.6,2344.09
27,5212.68,Salaried,Tier 1,3760.87,3585.0
29,4244.12,Freelancer,Tier 2,2716.91,2475.17
