month_index,month_label,gold_price_per_10g,nifty50,bitcoin_inr,gold_label,nifty50_label,bitcoin_label
0,2023-01,54000,17500,1800000,Uptrend,Uptrend,Uptrend
1,2023-02,54500,17800,2000000,Uptrend,Uptrend,Uptrend
2,2023-03,55000,17200,2200000,Uptrend,Stable,Uptrend
3,2023-04,56000,18000,2400000,Uptrend,Uptrend,Uptrend
4,2023-05,56500,18200,2300000,Stable,Uptrend,Stable
5,2023-06,57000,18500,2500000,Uptrend,Uptrend,Uptrend
6,2023-07,56800,19000,2400000,Stable,Uptrend,Stable
7,2023-08,58000,19200,2800000,Uptrend,Uptrend,Uptrend
8,2023-09,58500,18800,3000000,Uptrend,Stable,Uptrend
9,2023-10,59000,19500,3200000,Uptrend,Uptrend,Uptrend
10,2023-11,59500,19800,2900000,Stable,Uptrend,Downtrend
11,2023-12,60000,20000,3500000,Uptrend,Uptrend,Uptrend
12,2024-01,59500,19500,3800000,Downtrend,Downtrend,Uptrend
13,2024-02,61000,20200,3600000,Uptrend,Uptrend,Downtrend
14,2024-03,61500,21000,4000000,Stable,Uptrend,Uptrend
15,2024-04,62000,21500,4200000,Uptrend,Uptrend,Uptrend
16,2024-05,63000,21800,4500000,Uptrend,Stable,Uptrend
17,2024-06,63500,22000,5000000,Stable,Uptrend,Uptrend
18,2024-07,64000,22500,4800000,Uptrend,Uptrend,Downtrend
19,2024-08,64500,22200,5500000,Stable,Downtrend,Uptrend
20,2024-09,65000,22800,5800000,Uptrend,Uptrend,Uptrend
21,2024-10,65500,23000,6000000,Stable,Uptrend,Stable
22,2024-11,66000,23500,5600000,Uptrend,Uptrend,Downtrend
23,2024-12,67000,24000,6200000,Uptrend,Uptrend,Uptrend
